id|name|images|tags|active|quantity|category|meta-title|eya-category|商品编号：|价格：|品牌：|重量：|评价：|购买数量：|商品总价：|na|产地：|促销价:|剩余时间：|desc|
10300|日本悠哈味觉糖-咖啡牛乳糖|http://www.chishenghuo.com/eimages/images/201409/source_img/100_G_1411661421619.jpg|日本悠哈味觉糖-咖啡牛乳糖`巧克力`润喉糖`味觉糖`糖果`软糖`巧克力`休闲零食|1|100|甜点零食`吃货世界|日本悠哈味觉糖-咖啡牛乳糖|当前位置: 首页 > 休闲零食 > 糖果 软糖 巧克力 > 巧克力 润喉糖 味觉糖 > 日本悠哈味觉糖-咖啡牛乳糖|maya-NI-5313|2.98|UHA悠哈|80| (已有0人评论)|减少数量 增加数量||na||||<p>&nbsp;</p> <p>&nbsp;</p> <p>&nbsp;</p> <table border="0" bordercolor="#ffffff" cellpadding="0" cellspacing="0" height="282" width="750" style="margin: 0px; padding: 0px; border-spacing: 0px; border-color: rgb(0, 0, 0); color: rgb(64, 64, 64); font-family: tahoma, arial, 宋体, sans-serif; font-size: 14px; line-height: 21px;">  <tbody style="margin: 0px; padding: 0px;">   <tr style="margin: 0px; padding: 0px;">    <td align="middle" bgcolor="#f0ebe5" height="50" valign="center" width="76" style="margin: 0px; padding: 0px; border-color: rgb(0, 0, 0) rgb(0, 0, 0) rgb(255, 255, 255); border-bottom-style: solid;"><font color="#646464" size="2" style="margin: 0px; padding: 0px;"><span style="margin: 0px; padding: 0px; line-height: 19px;">品 名</span></font></td>    <td align="left" width="9" style="margin: 0px; padding: 0px; border-color: rgb(0, 0, 0);"><font color="#646464" size="2" style="margin: 0px; padding: 0px;">&nbsp;</font></td>    <td style="margin: 0px; padding: 0px; border-color: rgb(0, 0, 0);"> <p style="margin: 1.12em 0px; padding: 0px; line-height: 1.4;"><font color="#646464" size="2" style="margin: 0px; padding: 0px;"><span style="margin: 0px; padding: 0px; line-height: 19px;">咖啡牛乳糖</span></font></p> </td>    <td align="right" rowspan="7" valign="top" width="211" style="margin: 0px; padding: 0px; border-color: rgb(0, 0, 0);"> <p align="right" style="margin: 1.12em 0px; padding: 0px; line-height: 1.4;"><img align="absmiddle" src="http://img03.taobaocdn.com/imgextra/i3/687519755/T2lTDzXfVXXXXXXXXX_!!687519755.jpg_.webp" style="margin: 0px; padding: 0px; border: 0px; vertical-align: top; float: none; width: 232px;" alt=""></p> </td>   </tr>   <tr style="margin: 0px; padding: 0px;">    <td align="middle" bgcolor="#f0ebe5" height="50" valign="center" width="76" style="margin: 0px; padding: 0px; border-color: rgb(0, 0, 0) rgb(0, 0, 0) rgb(255, 255, 255); border-bottom-style: solid;"><font color="#646464" size="2" style="margin: 0px; padding: 0px;"><span style="margin: 0px; padding: 0px; line-height: 19px;">品 牌</span></font></td>    <td align="left" width="9" style="margin: 0px; padding: 0px; border-color: rgb(0, 0, 0);"><font color="#646464" size="2" style="margin: 0px; padding: 0px;">&nbsp;</font></td>    <td style="margin: 0px; padding: 0px; border-color: rgb(0, 0, 0);"><font color="#646464" size="2" style="margin: 0px; padding: 0px;"><span style="margin: 0px; padding: 0px; line-height: 19px;">味觉糖</span></font></td>   </tr>   <tr style="margin: 0px; padding: 0px;">    <td align="middle" bgcolor="#f0ebe5" height="50" valign="center" width="76" style="margin: 0px; padding: 0px; border-color: rgb(0, 0, 0) rgb(0, 0, 0) rgb(255, 255, 255); border-bottom-style: solid;"><font color="#646464" size="2" style="margin: 0px; padding: 0px;"><span style="margin: 0px; padding: 0px; line-height: 19px;">口 味</span></font></td>    <td align="left" style="margin: 0px; padding: 0px; border-color: rgb(0, 0, 0);"><font color="#646464" size="2" style="margin: 0px; padding: 0px;">&nbsp;</font></td>    <td style="margin: 0px; padding: 0px; border-color: rgb(0, 0, 0);"><font color="#646464" size="2" style="margin: 0px; padding: 0px;"><span style="margin: 0px; padding: 0px; line-height: 19px;">甜</span></font></td>   </tr>   <tr style="margin: 0px; padding: 0px;">    <td align="middle" bgcolor="#f0ebe5" height="50" valign="center" width="76" style="margin: 0px; padding: 0px; border-color: rgb(0, 0, 0) rgb(0, 0, 0) rgb(255, 255, 255); border-bottom-style: solid;"><font color="#646464" size="2" style="margin: 0px; padding: 0px;"><span style="margin: 0px; padding: 0px; line-height: 19px;">保质期</span></font></td>    <td align="left" style="margin: 0px; padding: 0px; border-color: rgb(0, 0, 0);"><font color="#646464" size="2" style="margin: 0px; padding: 0px;">&nbsp;</font></td>    <td style="margin: 0px; padding: 0px; border-color: rgb(0, 0, 0);"><font color="#646464" size="2" style="margin: 0px; padding: 0px;"><span style="margin: 0px; padding: 0px; line-height: 19px;">12个月</span></font></td>   </tr>   <tr style="margin: 0px; padding: 0px;">    <td align="middle" bgcolor="#f0ebe5" height="50" valign="center" width="76" style="margin: 0px; padding: 0px; border-color: rgb(0, 0, 0) rgb(0, 0, 0) rgb(255, 255, 255); border-bottom-style: solid;"><font color="#646464" size="2" style="margin: 0px; padding: 0px;"><span style="margin: 0px; padding: 0px; line-height: 19px;">配料表</span></font></td>    <td align="left" width="9" style="margin: 0px; padding: 0px; border-color: rgb(0, 0, 0);"><font color="#646464" size="2" style="margin: 0px; padding: 0px;">&nbsp;</font></td>    <td style="margin: 0px; padding: 0px; border-color: rgb(0, 0, 0);"> <p style="margin: 1.12em 0px; padding: 0px; line-height: 1.4;"><span style="margin: 0px; padding: 0px;"><span style="margin: 0px; padding: 0px; color: rgb(102, 102, 102);"><span style="margin: 0px; padding: 0px; line-height: 19px;">请查看中文标签</span></span></span></p> </td>   </tr>   <tr style="margin: 0px; padding: 0px;">    <td align="middle" bgcolor="#f0ebe5" height="50" valign="center" width="76" style="margin: 0px; padding: 0px; border-color: rgb(0, 0, 0) rgb(0, 0, 0) rgb(255, 255, 255); border-bottom-style: solid;"> <p style="margin: 1.12em 0px; padding: 0px; line-height: 1.4;"><font color="#646464" size="2" style="margin: 0px; padding: 0px;"><span style="margin: 0px; padding: 0px; line-height: 19px;">产 地</span></font></p> </td>    <td align="left" width="9" style="margin: 0px; padding: 0px; border-color: rgb(0, 0, 0);"><font color="#646464" size="2" style="margin: 0px; padding: 0px;">&nbsp;</font></td>    <td style="margin: 0px; padding: 0px; border-color: rgb(0, 0, 0);"><font color="#646464" size="2" style="margin: 0px; padding: 0px;">日本</font></td>   </tr>   <tr style="margin: 0px; padding: 0px;">    <td align="middle" bgcolor="#f0ebe5" height="50" valign="center" width="76" style="margin: 0px; padding: 0px; border-color: rgb(0, 0, 0) rgb(0, 0, 0) rgb(255, 255, 255); border-bottom-style: solid;"><font color="#646464" size="2" style="margin: 0px; padding: 0px;">保存方法</font></td>    <td align="left" width="9" style="margin: 0px; padding: 0px; border-color: rgb(0, 0, 0);"><font color="#646464" size="2" style="margin: 0px; padding: 0px;">&nbsp;</font></td>    <td style="margin: 0px; padding: 0px; border-color: rgb(0, 0, 0);"> <p style="margin: 1.12em 0px; padding: 0px; line-height: 1.4;"><span style="margin: 0px; padding: 0px;"><span style="margin: 0px; padding: 0px; color: rgb(102, 102, 102);"><span style="margin: 0px; padding: 0px; font-family: simsun;">避免阳光直射，高温多湿</span></span></span></p> </td>   </tr>   <tr style="margin: 0px; padding: 0px;">    <td align="middle" bgcolor="#f0ebe5" height="50" valign="center" width="76" style="margin: 0px; padding: 0px; border-color: rgb(0, 0, 0) rgb(0, 0, 0) rgb(255, 255, 255); border-bottom-style: solid;"><font color="#646464" size="2" style="margin: 0px; padding: 0px;"><span style="margin: 0px; padding: 0px; line-height: 19px;">品牌介绍</span></font></td>    <td align="left" width="9" style="margin: 0px; padding: 0px; border-color: rgb(0, 0, 0);"><font color="#646464" size="2" style="margin: 0px; padding: 0px;">&nbsp;</font></td>    <td style="margin: 0px; padding: 0px; border-color: rgb(0, 0, 0);"> <p style="margin: 1.12em 0px; padding: 0px; line-height: 1.4;"><span style="margin: 0px; padding: 0px; line-height: normal; font-family: simsun; color: rgb(102, 102, 102);"><span style="margin: 0px; padding: 0px;"><span style="margin: 0px; padding: 0px;"><span style="margin: 0px; padding: 0px;"><span style="margin: 0px; padding: 0px; widows: 2; font-family: 'normal normal normal normal simsun'; orphans: 2;">良好的饮食对生活有益，所以，需要吃美味的食物。UHA喜欢创造与改变，制作独特的糖果，并且认为，糖果最伟大的味道，是创造出一个很大的梦想：健康，舒适的生活。</span></span></span></span></span></p> </td>    <td style="margin: 0px; padding: 0px; border-color: rgb(0, 0, 0);"><font color="#646464" size="2" style="margin: 0px; padding: 0px;">&nbsp;</font></td>   </tr>   <tr style="margin: 0px; padding: 0px;">    <td align="middle" bgcolor="#f0ebe5" height="50" valign="center" width="76" style="margin: 0px; padding: 0px; border-color: rgb(0, 0, 0);"><font color="#646464" size="2" style="margin: 0px; padding: 0px;"><span style="margin: 0px; padding: 0px; line-height: 19px;">产品特点</span></font></td>    <td align="left" width="9" style="margin: 0px; padding: 0px; border-color: rgb(0, 0, 0);"><font color="#646464" size="2" style="margin: 0px; padding: 0px;">&nbsp;</font></td>    <td colspan="2" style="margin: 0px; padding: 0px; border-color: rgb(0, 0, 0);"> <p style="margin: 1.12em 0px; padding: 0px; line-height: 1.4;">&nbsp;<span style="margin: 0px; padding: 0px; color: rgb(102, 102, 102);"><span style="margin: 0px; padding: 0px; font-family: simsun;">采用新鲜牛奶与香浓咖啡调配而成的醇厚奶咖，制作出口感上乘的优质奶咖味硬糖</span></span>。</p> <p style="margin: 1.12em 0px; padding: 0px; line-height: 1.4;">&nbsp;</p> </td>   </tr>  </tbody> </table> <p style="margin: 1.12em 0px; padding: 0px; line-height: 1.4; color: rgb(64, 64, 64); font-family: tahoma, arial, 宋体, sans-serif; font-size: 14px; text-align: center;"><img align="absmiddle" src="http://img03.taobaocdn.com/imgextra/i3/687519755/T2lTDzXfVXXXXXXXXX_!!687519755.jpg_.webp" style="margin: 0px; padding: 0px; border: 0px; vertical-align: top; float: none; width: 750px;" alt=""></p> <p style="margin: 1.12em 0px; padding: 0px; line-height: 1.4; color: rgb(64, 64, 64); font-family: tahoma, arial, 宋体, sans-serif; font-size: 14px; text-align: center;"><img align="absmiddle" src="http://img03.taobaocdn.com/imgextra/i3/687519755/T2YDaYXmNaXXXXXXXX_!!687519755.jpg_.webp" style="margin: 0px; padding: 0px; border: 0px; vertical-align: top; float: none; width: 750px;" alt=""></p> <p style="margin: 1.12em 0px; padding: 0px; line-height: 1.4; color: rgb(64, 64, 64); font-family: tahoma, arial, 宋体, sans-serif; font-size: 14px; text-align: center;"><img align="absmiddle" src="http://img01.taobaocdn.com/imgextra/i1/687519755/T2WEvXXbpbXXXXXXXX_!!687519755.jpg_.webp" style="margin: 0px; padding: 0px; border: 0px; vertical-align: top; float: none; width: 750px;" alt=""></p> <p style="margin: 1.12em 0px; padding: 0px; line-height: 1.4; color: rgb(64, 64, 64); font-family: tahoma, arial, 宋体, sans-serif; font-size: 14px; text-align: center;"><img align="absmiddle" src="http://img04.taobaocdn.com/imgextra/i4/687519755/T2VA6zXkJXXXXXXXXX_!!687519755.jpg_.webp" style="margin: 0px; padding: 0px; border: 0px; vertical-align: top; float: none; width: 750px;" alt=""></p> <p style="margin: 1.12em 0px; padding: 0px; line-height: 1.4; color: rgb(64, 64, 64); font-family: tahoma, arial, 宋体, sans-serif; font-size: 14px; text-align: center;"><img align="absmiddle" src="http://img03.taobaocdn.com/imgextra/i3/687519755/T2nNDzXoBXXXXXXXXX_!!687519755.jpg_.webp" style="margin: 0px; padding: 0px; border: 0px; vertical-align: top; float: none; width: 750px;" alt=""></p>|
13000|嘉顿芝麻薄饼盒装|http://www.chishenghuo.com/eimages/images/201410/source_img/1000_G_1414615147012.jpg|嘉顿芝麻薄饼盒装`饼干`曲奇`威化`饼干`糕点`甜品`休闲零食|1|100|甜点零食`吃货世界|嘉顿芝麻薄饼盒装|当前位置: 首页 > 休闲零食 > 饼干 糕点 甜品 > 饼干 曲奇 威化 > 嘉顿芝麻薄饼盒装|maya-YL-9455|2.59|嘉顿|225| (已有0人评论)|减少数量 增加数量||na|中华|||<p style="text-align: center"><img src="http://www.chishenghuo.com/eimages/bdimages/upload1/20141030/1414615141595299.jpg" title="嘉顿芝麻薄饼盒装.jpg"></p><p><br></p>|
13003|嘉顿夹心饼干混合8条装|http://www.chishenghuo.com/eimages/images/201410/source_img/1001_G_1414614876156.jpg|嘉顿夹心饼干混合8条装`饼干`曲奇`威化`饼干`糕点`甜品`休闲零食|1|100|甜点零食`吃货世界|嘉顿夹心饼干混合8条装|当前位置: 首页 > 休闲零食 > 饼干 糕点 甜品 > 饼干 曲奇 威化 > 嘉顿夹心饼干混合8条装|maya-YL-4689|4.99|嘉顿|0| (已有0人评论)|减少数量 增加数量||na||||<p style="text-align: center"><img src="http://www.chishenghuo.com/eimages/bdimages/upload1/20141030/1414615079610437.jpg" title="嘉顿夹心.jpg"></p><p><br></p>|
13006|台湾小磨坊 四物汤 3-4人份|http://www.chishenghuo.com/eimages/images/201410/source_img/1002_G_1414617443224.jpg|台湾小磨坊`四物汤`3-4人份`五谷杂粮`干货`汤包`海味`调味`养生`休闲零食|1|100|酱菜干货`吃货世界|台湾小磨坊 四物汤 3-4人份|当前位置: 首页 > 休闲零食 > 海味 调味 养生 > 五谷杂粮 干货 汤包 > 台湾小磨坊 四物汤 3-4人份|maya-YL-1182|3.59|小磨坊|50| (已有0人评论)|减少数量 增加数量||na|中华|$2.99|请稍等, 正在载入中...|<p style="text-align: center"><img src="http://www.chishenghuo.com/eimages/bdimages/upload1/20141030/1414617413199259.jpg" title="台湾小磨坊养颜四物汤药膳食补、红颜滋润3~4人份_desc_1.jpg"></p><p><br></p>|
13009|台湾小磨坊 四神汤 3-4人份|http://www.chishenghuo.com/eimages/images/201410/source_img/1003_G_1414617576324.jpg|台湾小磨坊`四神汤`3-4人份`五谷杂粮`干货`汤包`海味`调味`养生`休闲零食|1|100|酱菜干货`吃货世界|台湾小磨坊 四神汤 3-4人份|当前位置: 首页 > 休闲零食 > 海味 调味 养生 > 五谷杂粮 干货 汤包 > 台湾小磨坊 四神汤 3-4人份|maya-YL-1199|3.59|小磨坊|90| (已有0人评论)|减少数量 增加数量||na|中华|$2.99|请稍等, 正在载入中...|<p style="text-align: center"><img src="http://www.chishenghuo.com/eimages/bdimages/upload1/20141030/1414617563474143.jpg" title="台湾小磨坊大正四神汤药膳食补、清心养神3~4人份_desc_1.jpg"></p><p><br></p>|
13012|澳门香香 粒粒杏仁饼礼盒铁盒装|http://www.chishenghuo.com/eimages/images/201411/source_img/1004_G_1416425310473.jpg|澳门香香`粒粒杏仁饼礼盒铁盒装`蛋卷`杏仁饼`方块酥`饼干`糕点`甜品`休闲零食|1|100|甜点零食`吃货世界|澳门香香 粒粒杏仁饼礼盒铁盒装|当前位置: 首页 > 休闲零食 > 饼干 糕点 甜品 > 蛋卷 杏仁饼 方块酥 > 澳门香香 粒粒杏仁饼礼盒铁盒装|maya-EYM001004|12.50|香香食品|380| (已有0人评论)|减少数量 增加数量||na|中华|||<p style="text-align: center"><img src="http://www.chishenghuo.com/eimages/bdimages/upload1/20141030/1414619752670905.jpg" title="澳门香香.jpg"></p><p style="text-align: center"><img src="http://www.chishenghuo.com/eimages/bdimages/upload1/20141030/1414619760969847.jpg" title="澳门香香1.jpg"></p><p style="text-align: center"><img src="http://www.chishenghuo.com/eimages/bdimages/upload1/20141030/1414619766846072.jpg" title="澳门香香2.jpg"></p><p style="text-align: center"><img src="http://www.chishenghuo.com/eimages/bdimages/upload1/20141030/1414619772669714.jpg" title="澳门香香3.jpg"></p><p style="text-align: center"><img src="http://www.chishenghuo.com/eimages/bdimages/upload1/20141030/1414619778344240.jpg" title="澳门香香4.jpg"></p><p><br></p>|
13015|澳门香香 粒粒杏仁饼铁罐|http://www.chishenghuo.com/eimages/images/201411/source_img/1005_G_1416424699643.jpg|澳门香香`粒粒杏仁饼铁罐`蛋卷`杏仁饼`方块酥`饼干`糕点`甜品`休闲零食|1|100|甜点零食`吃货世界|澳门香香 粒粒杏仁饼铁罐|当前位置: 首页 > 休闲零食 > 饼干 糕点 甜品 > 蛋卷 杏仁饼 方块酥 > 澳门香香 粒粒杏仁饼铁罐|maya-EYM001005|11.50|香香食品|500| (已有0人评论)|减少数量 增加数量||na|中华|||<p style="text-align: center"><br></p><p style="text-align: center"><br></p><p style="text-align: center"><br></p><p style="text-align: center"><br></p><p style="text-align: center"><br></p><p style="text-align: center"><br></p><p style="text-align: center"><br></p><p style="text-align: center"><br></p><p style="text-align: center"><img src="http://www.chishenghuo.com/eimages/bdimages/upload1/20141030/1414619689398710.jpg" title="澳门香香.jpg"></p><p style="text-align: center"><img src="http://www.chishenghuo.com/eimages/bdimages/upload1/20141030/1414619706273187.jpg" title="澳门香香2.jpg"></p><p style="text-align: center"><img src="http://www.chishenghuo.com/eimages/bdimages/upload1/20141030/1414619714800169.jpg" title="澳门香香3.jpg"></p><p style="text-align: center"><img src="http://www.chishenghuo.com/eimages/bdimages/upload1/20141030/1414619722567960.jpg" title="澳门香香4.jpg"></p><p><br></p>|
13018|台湾御珍尝 冲绳角切原味黑糖|http://www.chishenghuo.com/eimages/images/201410/source_img/1006_G_1414624244932.jpg|台湾御珍尝`冲绳角切原味黑糖`巧克力`润喉糖`味觉糖`糖果`软糖`巧克力`休闲零食|1|100|甜点零食`吃货世界|台湾御珍尝 冲绳角切原味黑糖|当前位置: 首页 > 休闲零食 > 糖果 软糖 巧克力 > 巧克力 润喉糖 味觉糖 > 台湾御珍尝 冲绳角切原味黑糖|maya-YL-0048|5.59|ROYAL TASTE御珍尝|180| (已有0人评论)|减少数量 增加数量||na|中华|||<p style="text-align: center"><img src="http://www.chishenghuo.com/eimages/bdimages/upload1/20141030/1414624224974220.png" title="台湾御珍尝 冲绳角切原味黑糖1.png"></p><p><br></p>|
13021|台湾御珍尝 冲绳角切姜汁黑糖|http://www.chishenghuo.com/eimages/images/201410/source_img/1007_G_1414624339401.jpg|台湾御珍尝`冲绳角切姜汁黑糖`巧克力`润喉糖`味觉糖`糖果`软糖`巧克力`休闲零食|1|100|甜点零食`吃货世界|台湾御珍尝 冲绳角切姜汁黑糖|当前位置: 首页 > 休闲零食 > 糖果 软糖 巧克力 > 巧克力 润喉糖 味觉糖 > 台湾御珍尝 冲绳角切姜汁黑糖|maya-YL-0055|5.59|ROYAL TASTE御珍尝|180| (已有0人评论)|减少数量 增加数量||na|中华|||<p style="text-align: center"><img src="http://www.chishenghuo.com/eimages/bdimages/upload1/20141030/1414624331523849.png" title="台湾御珍尝 冲绳角切姜汁黑糖1.png"></p><p><br></p>|
13024|力成马标ROXY 洋薏米|http://www.chishenghuo.com/eimages/images/201410/source_img/1008_G_1414687149483.jpg|力成马标ROXY`洋薏米`五谷杂粮`干货`汤包`海味`调味`养生`休闲零食|1|100|酱菜干货`吃货世界|力成马标ROXY 洋薏米|当前位置: 首页 > 休闲零食 > 海味 调味 养生 > 五谷杂粮 干货 汤包 > 力成马标ROXY 洋薏米|maya-YL-1025|1.49|ROXY力成马标|227| (已有0人评论)|减少数量 增加数量||na|中华|||<p style="text-align: center"><img src="http://www.chishenghuo.com/eimages/images/image/78401414686843.jpg" title="薏米冬瓜排骨汤.jpg"></p><p><br></p><p><br></p><h1 class="center" property="v:name" style="margin: 0px 0px 5px; padding: 0px; border: 0px; font-size: 22px; font-family: Tahoma, Helvetica, Arial, 宋体, sans-serif; vertical-align: baseline; color: rgb(17, 17, 17); line-height: 28px; text-align: center; white-space: normal; background-color: rgb(255, 255, 255);">薏米冬瓜排骨汤</h1><p><br></p><h2 class="no-bottom" style="margin: 0px; padding: 0px; border-width: 0px; border-bottom-style: solid; border-bottom-color: white; font-size: 16px; font-family: Tahoma, Helvetica, Arial, 宋体, sans-serif; vertical-align: baseline; color: rgb(254, 86, 12); line-height: 20px; white-space: normal; background-color: rgb(255, 255, 255);">材料</h2><p style="margin-top: 0px; padding: 0px; border: 0px; font-size: 14px; font-family: Tahoma, Helvetica, Arial, 宋体, sans-serif; vertical-align: baseline; color: rgb(34, 34, 34); line-height: 24px; white-space: normal; background-color: rgb(255, 255, 255);"><br></p><p style="margin-top: 0px; padding: 0px; border: 0px; font-size: 14px; font-family: Tahoma, Helvetica, Arial, 宋体, sans-serif; vertical-align: baseline; color: rgb(34, 34, 34); line-height: 24px; white-space: normal; background-color: rgb(255, 255, 255);">主料：<span class="ingredient" style="margin: 0px; padding: 0px; border: 0px; font-weight: inherit; font-style: inherit; vertical-align: baseline; color: rgb(34, 34, 34);"><span class="name" style="margin: 0px; padding: 0px; border: 0px; font-weight: inherit; font-style: inherit; vertical-align: baseline;">薏米</span></span>30克、<span class="ingredient" style="margin: 0px; padding: 0px; border: 0px; font-weight: inherit; font-style: inherit; vertical-align: baseline; color: rgb(34, 34, 34);"><span class="name" style="margin: 0px; padding: 0px; border: 0px; font-weight: inherit; font-style: inherit; vertical-align: baseline;">排骨</span></span>400克、<span class="ingredient" style="margin: 0px; padding: 0px; border: 0px; font-weight: inherit; font-style: inherit; vertical-align: baseline; color: rgb(34, 34, 34);"><span class="name" style="margin: 0px; padding: 0px; border: 0px; font-weight: inherit; font-style: inherit; vertical-align: baseline;">冬瓜</span></span>400克&nbsp;<br>调料：盐、姜2片<br></p><h2 class="no-bottom" style="margin: 0px; padding: 0px; border-width: 0px; border-bottom-style: solid; border-bottom-color: white; font-size: 16px; font-family: Tahoma, Helvetica, Arial, 宋体, sans-serif; vertical-align: baseline; color: rgb(254, 86, 12); line-height: 20px; white-space: normal; background-color: rgb(255, 255, 255);"><br></h2><h2 class="no-bottom" style="margin: 0px; padding: 0px; border-width: 0px; border-bottom-style: solid; border-bottom-color: white; font-size: 16px; font-family: Tahoma, Helvetica, Arial, 宋体, sans-serif; vertical-align: baseline; color: rgb(254, 86, 12); line-height: 20px; white-space: normal; background-color: rgb(255, 255, 255);"><br></h2><h2 class="no-bottom" style="margin: 0px; padding: 0px; border-width: 0px; border-bottom-style: solid; border-bottom-color: white; font-size: 16px; font-family: Tahoma, Helvetica, Arial, 宋体, sans-serif; vertical-align: baseline; color: rgb(254, 86, 12); line-height: 20px; white-space: normal; background-color: rgb(255, 255, 255);"><br></h2><h2 class="no-bottom" style="margin: 0px; padding: 0px; border-width: 0px; border-bottom-style: solid; border-bottom-color: white; font-size: 16px; font-family: Tahoma, Helvetica, Arial, 宋体, sans-serif; vertical-align: baseline; color: rgb(254, 86, 12); line-height: 20px; white-space: normal; background-color: rgb(255, 255, 255);">做法</h2><p><span style="color: rgb(34, 34, 34); font-family: Tahoma, Helvetica, Arial, 宋体, sans-serif; font-size: 14px; line-height: 25.2000007629395px; background-color: rgb(255, 255, 255);"><br></span></p><p><span style="color: rgb(34, 34, 34); font-family: Tahoma, Helvetica, Arial, 宋体, sans-serif; font-size: 14px; line-height: 25.2000007629395px; background-color: rgb(255, 255, 255);">1、冬瓜去皮洗净切块，薏米、排骨洗净，备用。&nbsp;</span><br style="color: rgb(34, 34, 34); font-family: Tahoma, Helvetica, Arial, 宋体, sans-serif; font-size: 14px; line-height: 25.2000007629395px; white-space: normal; background-color: rgb(255, 255, 255);"><span style="color: rgb(34, 34, 34); font-family: Tahoma, Helvetica, Arial, 宋体, sans-serif; font-size: 14px; line-height: 25.2000007629395px; background-color: rgb(255, 255, 255);">2、瓦煲内盛适量的水，放入洗净的排骨。&nbsp;</span><br style="color: rgb(34, 34, 34); font-family: Tahoma, Helvetica, Arial, 宋体, sans-serif; font-size: 14px; line-height: 25.2000007629395px; white-space: normal; background-color: rgb(255, 255, 255);"><span style="color: rgb(34, 34, 34); font-family: Tahoma, Helvetica, Arial, 宋体, sans-serif; font-size: 14px; line-height: 25.2000007629395px; background-color: rgb(255, 255, 255);">3、大火烧开，撇去浮沫，改为小火炖。&nbsp;</span><br style="color: rgb(34, 34, 34); font-family: Tahoma, Helvetica, Arial, 宋体, sans-serif; font-size: 14px; line-height: 25.2000007629395px; white-space: normal; background-color: rgb(255, 255, 255);"><span style="color: rgb(34, 34, 34); font-family: Tahoma, Helvetica, Arial, 宋体, sans-serif; font-size: 14px; line-height: 25.2000007629395px; background-color: rgb(255, 255, 255);">4、放入薏米、料酒、姜片，用小火慢炖。&nbsp;</span><br style="color: rgb(34, 34, 34); font-family: Tahoma, Helvetica, Arial, 宋体, sans-serif; font-size: 14px; line-height: 25.2000007629395px; white-space: normal; background-color: rgb(255, 255, 255);"><span style="color: rgb(34, 34, 34); font-family: Tahoma, Helvetica, Arial, 宋体, sans-serif; font-size: 14px; line-height: 25.2000007629395px; background-color: rgb(255, 255, 255);">5、约炖1小时左右后，用筷子戳一下排骨肉，有点熟了，加入冬瓜。&nbsp;</span><br style="color: rgb(34, 34, 34); font-family: Tahoma, Helvetica, Arial, 宋体, sans-serif; font-size: 14px; line-height: 25.2000007629395px; white-space: normal; background-color: rgb(255, 255, 255);"><span style="color: rgb(34, 34, 34); font-family: Tahoma, Helvetica, Arial, 宋体, sans-serif; font-size: 14px; line-height: 25.2000007629395px; background-color: rgb(255, 255, 255);">6．继续煮至用筷子戳穿排骨肉即可。在起锅前5分钟加入盐。</span><br style="color: rgb(34, 34, 34); font-family: Tahoma, Helvetica, Arial, 宋体, sans-serif; font-size: 14px; line-height: 25.2000007629395px; white-space: normal; background-color: rgb(255, 255, 255);"></p><h2 class="no-bottom" style="margin: 0px; padding: 0px; border-width: 0px; border-bottom-style: solid; border-bottom-color: white; font-size: 16px; font-family: Tahoma, Helvetica, Arial, 宋体, sans-serif; vertical-align: baseline; color: rgb(254, 86, 12); line-height: 20px; white-space: normal; background-color: rgb(255, 255, 255);"><br></h2><h2 class="no-bottom" style="margin: 0px; padding: 0px; border-width: 0px; border-bottom-style: solid; border-bottom-color: white; font-size: 16px; font-family: Tahoma, Helvetica, Arial, 宋体, sans-serif; vertical-align: baseline; color: rgb(254, 86, 12); line-height: 20px; white-space: normal; background-color: rgb(255, 255, 255);"><br></h2><h2 class="no-bottom" style="margin: 0px; padding: 0px; border-width: 0px; border-bottom-style: solid; border-bottom-color: white; font-size: 16px; font-family: Tahoma, Helvetica, Arial, 宋体, sans-serif; vertical-align: baseline; color: rgb(254, 86, 12); line-height: 20px; white-space: normal; background-color: rgb(255, 255, 255);"><br></h2><h2 class="no-bottom" style="margin: 0px; padding: 0px; border-width: 0px; border-bottom-style: solid; border-bottom-color: white; font-size: 16px; font-family: Tahoma, Helvetica, Arial, 宋体, sans-serif; vertical-align: baseline; color: rgb(254, 86, 12); line-height: 20px; white-space: normal; background-color: rgb(255, 255, 255);">小诀窍</h2><p style="margin-top: 0px; padding: 0px; border: 0px; font-size: 14px; font-family: Tahoma, Helvetica, Arial, 宋体, sans-serif; vertical-align: baseline; color: rgb(34, 34, 34); line-height: 24px; white-space: normal; background-color: rgb(255, 255, 255);"><br></p><p style="margin-top: 0px; padding: 0px; border: 0px; font-size: 14px; font-family: Tahoma, Helvetica, Arial, 宋体, sans-serif; vertical-align: baseline; color: rgb(34, 34, 34); line-height: 24px; white-space: normal; background-color: rgb(255, 255, 255);">1、如果想让汤清一些，可先将排骨飞水，去除血水后再放入。&nbsp;<br>2、冬瓜性寒凉，脾胃虚寒易泄泻者慎用;久病与阳虚肢冷者忌食。&nbsp;<br>3、喝时可撒些葱花。</p><p><br></p>|
